Mean Probability,Standard Deviation
0.33253524,0.47027582
0.66360205,0.46923748
0.637641,0.4509521
0.73995167,0.3407615
0.33300266,0.4709369
0.6367731,0.45127836
0.65559226,0.46365273
0.6817689,0.4400299
0.59163976,0.42133167
0.29423165,0.40302172
0.00052257505,0.00073903275
0.329662,0.4662125
0.6402952,0.45363033
0.6515476,0.4610311
0.6973712,0.39138255
0.3287954,0.4649869
0.38287377,0.42491072
0.9760055,0.015918838
0.65765744,0.4214071
0.6292077,0.44507286
0.6485352,0.45902768
0.6598026,0.4665857
0.57649916,0.4137279
0.32500193,0.4449542
0.41988543,0.40975758
0.5453534,0.40809572
0.47251162,0.3692387
0.29717073,0.42026284
0.662816,0.4686827
0.8336377,0.21735163
0.2472685,0.34969047
0.33484995,0.46648917
0.6075137,0.42998073
0.664536,0.46989822
0.65719986,0.4647471
0.6608576,0.46731412
0.34702206,0.45516163
0.63391787,0.44826347
0.6550984,0.4632309
0.982501,0.018295763
0.96121055,0.034242943
0.65266114,0.44674885
0.04505526,0.03190593
0.6426696,0.45531932
0.66362756,0.46925986
0.65733653,0.46481037
0.659175,0.4661233
0.331963,0.4694666
0.66175294,0.46793863
0.664432,0.46982503
0.24946463,0.24469721
0.65626186,0.46412674
0.6490832,0.4592177
0.7725968,0.30701116
0.95783585,0.029796278
0.3538513,0.4505327
0.6566818,0.46437165
0.075139396,0.06986577
0.6595063,0.46638584
0.3150516,0.4131667
0.9558375,0.028318116
0.3309891,0.46808922
0.6248564,0.44186282
0.33836624,0.4636492
0.9741109,0.013491774
0.42073357,0.41944864
0.6616267,0.46784905
0.33417055,0.43354183
0.6554544,0.4634859
0.60337424,0.43317914
0.78036004,0.15923263
0.5721484,0.41331953
0.6529638,0.4617365
0.32585946,0.4608349
0.3225283,0.4561239
0.6263173,0.44478747
0.66229504,0.46832135
0.33538494,0.45849648
0.93218404,0.04494356
0.9710924,0.033033043
0.64954954,0.45951223
0.5140379,0.37893742
0.6262601,0.44410986
0.6200063,0.43901756
0.6496256,0.45942816
0.65846866,0.4656967
0.6573779,0.46485183
0.6581717,0.4653997
0.33701983,0.43464395
0.6445558,0.4558618
0.63668567,0.45111647
0.6124568,0.4354463
0.6393853,0.45213154
0.5406495,0.4039266
0.6593728,0.46627453
0.30558944,0.43216875
0.72812384,0.2894091
0.640271,0.45287618
0.9240325,0.052066065
0.32725567,0.46280938
0.31400695,0.44407287
0.49528566,0.3534873
0.3253404,0.4601008
0.65353423,0.46236795
0.32388237,0.45803884
0.6610587,0.46744192
0.586368,0.42300597
0.3992184,0.4108709
0.3328086,0.47066244
0.97110814,0.035747435
0.0035534815,0.005025381
0.39469513,0.4273627
0.61930484,0.4398031
0.6148166,0.43474528
0.65283173,0.461908
0.8618326,0.11338546
0.6626728,0.45182747
0.66451925,0.46988603
0.663378,0.46908674
0.96362275,0.04487496
0.47385082,0.33791068
0.6574337,0.4648765
0.6531163,0.4618307
0.275116,0.38907275
0.33028117,0.46708813
0.6598036,0.4665622
0.64250666,0.45507398
0.65473396,0.46313405
0.66011935,0.4668223
0.65986305,0.4666357
0.66326684,0.46901178
0.6259424,0.44281316
0.6263853,0.44418967
0.66091704,0.46733892
0.66272765,0.46862078
0.3396925,0.43955687
0.6433484,0.45577502
0.6334985,0.4494148
0.30903968,0.43704808
0.6547515,0.46298376
0.92340535,0.056979008
0.9147211,0.059791088
0.60066855,0.42827624
0.6644652,0.4698488
0.92107075,0.083422884
0.9510959,0.034853283
0.6558604,0.4638435
0.33014828,0.46690017
0.034540057,0.03619676
0.7533719,0.32751322
0.65619946,0.46401
0.33146307,0.4687596
0.27056703,0.34055278
0.97993255,0.015778333
0.6720732,0.45305485
0.6464803,0.4575069
0.64730096,0.45771286
0.41520587,0.41822273
0.6475846,0.45843136
0.6427327,0.45491263
0.66232234,0.468345
0.6423664,0.45497748
0.57252306,0.41882926
0.6299278,0.44738802
0.9352338,0.08175125
0.65541786,0.46360084
0.33406603,0.45996344
0.42917538,0.40985063
0.7781546,0.305322
0.4524752,0.38995555
0.7392246,0.35180604
0.928045,0.041082717
0.5439643,0.41271582
0.6499348,0.45990145
0.15734076,0.21049829
0.6615985,0.46784413
0.5703879,0.4122162
0.6014432,0.43034887
0.3643428,0.45076898
0.39927116,0.42397314
0.66297144,0.4687924
0.62269455,0.44259045
0.6487088,0.45872855
0.6550395,0.4633498
0.6306837,0.44694728
0.05572195,0.078802735
0.6367883,0.45049027
0.6509386,0.46039647
0.33273852,0.47056332
0.99230623,0.005470706
0.6494903,0.45926583
0.62855405,0.44461727
